title,brand,price,mrp,description,net_quantity,manufacturer,country_of_origin,mfg_date,expiry_date,platform,seller,product_url,image_urls,category,rating,reviews_count,extracted_at,compliance_score,compliance_status,issues_found,compliance_details
600+ bought in past month,,62.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Tattva-Turmeric-Powder-100g/dp/B00M57XE0E/ref=sr_1_11_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-11,https://m.media-amazon.com/images/I/61+sBou9qbL._AC_UL320_.jpg,,4.2,,2025-12-04 06:19:09,,,,
"24 Mantra Organic Raw Peanut, 500g",,157.0,,,,,,,,amazon,,https://www.amazon.in/24-Mantra-Organic-Peanut-500g/dp/B00L925LKW/ref=sr_1_12?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-12,https://m.media-amazon.com/images/I/719bfJwwX6L._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
Powder,,228.0,,,,,,,,amazon,,https://www.amazon.in/TATA-Product-Digestion-Bioactives-Antioxidants/dp/B00K5KC2E2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-13,https://m.media-amazon.com/images/I/61f0N1l3lxL._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
900+ bought in past month,,61.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Tattva-Kalonji-100g/dp/B01N7T4X1H/ref=sr_1_14_mod_primary_new?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-14,https://m.media-amazon.com/images/I/61yzBjdzoxL._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
Powder,,275.0,,,,,,,,amazon,,https://www.amazon.in/Kapiva-Certified-Organic-Moringa-Nutrients/dp/B0DP5BM31Z/ref=sr_1_15?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-15,https://m.media-amazon.com/images/I/61T-9jDzEdL._AC_UL320_.jpg,,4.0,,2025-12-04 06:19:09,,,,
2K+ bought in past month,,66.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Tattva-Suji-500g/dp/B00M57TO12/ref=sr_1_16_f3_0o_fs?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-16,https://m.media-amazon.com/images/I/71Q6nDMAgtL._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
7K+ bought in past month,,118.0,,,,,,,,amazon,,https://www.amazon.in/Chemicals-Organically-Processed-Essentials-Nutrients/dp/B00M57WRHU/ref=sr_1_17_f3_0o_fs?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-17,https://m.media-amazon.com/images/I/61TXQfWSheL._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
6K+ bought in past month,,422.0,,,,,,,,amazon,,https://www.amazon.in/Brothers-Organic-Ancient-Heirloom-Stoneground/dp/B0895X1BYY/ref=sr_1_18?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-18,https://m.media-amazon.com/images/I/61O-1S48kbL._AC_UL320_.jpg,,4.2,,2025-12-04 06:19:09,,,,
Natural,,200.0,,,,,,,,amazon,,https://www.amazon.in/TATA-Product-Himalayan-Nutrients-Digestion/dp/B01J634N86/ref=sr_1_19_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-19,https://m.media-amazon.com/images/I/71yxY8V44qL._AC_UL320_.jpg,,4.1,,2025-12-04 06:19:09,,,,
Powder,,220.0,,,,,,,,amazon,,https://www.amazon.in/Organic-India-Psyllium-whole-100gm/dp/B00JI4WCGO/ref=sr_1_20?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRmQrmN_xxrkFUEIJBvNvWESALv2yYVLEs6IE7HYGJbCer1w2qkYYb76EsAOQVMWkwBAFOHIqab9lvcbmididpCJiR5Hshj129pEzLnxe0TPE2vSVeT5ZQCX0lWJTWJhcC0eHQp_4woUyzVN_MmxPjpprhowH0o6bHDYQ5WTqVkYj8IcEqzU6978pLUrQLzI30M0WAlleUuw-hxiETQ3i6hvMmIKOdlFLVSECCJEqVoZBcO_XXO26k7K2eoz1cnVaynLRtysVrpJjHVAypaoiTYI.QsQ3YnwM82A3sYbeYOG-RzSuI_6t7IeaFOMWsNSTntM&dib_tag=se&keywords=organic+items&qid=1764809346&sr=8-20,https://m.media-amazon.com/images/I/51ozjIrBhpL._AC_UL320_.jpg,,4.3,,2025-12-04 06:19:09,,,,
